vsacname,codesystem,code,description
AbortiveOutcome,ICD10CM,O03.0,Genital tract and pelvic infection following incomplete spontaneous abortion
AbortiveOutcome,ICD10CM,O03.1,Delayed or excessive hemorrhage following incomplete spontaneous abortion
AbortiveOutcome,ICD10CM,O03.2,Embolism following incomplete spontaneous abortion
AbortiveOutcome,ICD10CM,O03.3,Other and unspecified complications following incomplete spontaneous abortion
AbortiveOutcome,ICD10CM,O03.30,Unspecified complication following incomplete spontaneous abortion
AbortiveOutcome,ICD10CM,O03.31,Shock following incomplete spontaneous abortion
AbortiveOutcome,ICD10CM,O03.32,Renal failure following incomplete spontaneous abortion
AbortiveOutcome,ICD10CM,O03.33,Metabolic disorder following incomplete spontaneous abortion
AbortiveOutcome,ICD10CM,O03.34,Damage to pelvic organs following incomplete spontaneous abortion
AbortiveOutcome,ICD10CM,O03.35,Other venous complications following incomplete spontaneous abortion
AbortiveOutcome,ICD10CM,O03.36,Cardiac arrest following incomplete spontaneous abortion
AbortiveOutcome,ICD10CM,O03.37,Sepsis following incomplete spontaneous abortion
AbortiveOutcome,ICD10CM,O03.38,Urinary tract infection following incomplete spontaneous abortion
AbortiveOutcome,ICD10CM,O03.39,Incomplete spontaneous abortion with other complications
AbortiveOutcome,ICD10CM,O03.4,Incomplete spontaneous abortion without complication
AbortiveOutcome,ICD10CM,O03.5,Genital tract and pelvic infection following complete or unspecified spontaneous abortion
AbortiveOutcome,ICD10CM,O03.6,Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion
AbortiveOutcome,ICD10CM,O03.7,Embolism following complete or unspecified spontaneous abortion
AbortiveOutcome,ICD10CM,O03.8,Other and unspecified complications following complete or unspecified spontaneous abortion
AbortiveOutcome,ICD10CM,O03.80,Unspecified complication following complete or unspecified spontaneous abortion
AbortiveOutcome,ICD10CM,O03.81,Shock following complete or unspecified spontaneous abortion
AbortiveOutcome,ICD10CM,O03.82,Renal failure following complete or unspecified spontaneous abortion
AbortiveOutcome,ICD10CM,O03.83,Metabolic disorder following complete or unspecified spontaneous abortion
AbortiveOutcome,ICD10CM,O03.84,Damage to pelvic organs following complete or unspecified spontaneous abortion
AbortiveOutcome,ICD10CM,O03.85,Other venous complications following complete or unspecified spontaneous abortion
AbortiveOutcome,ICD10CM,O03.86,Cardiac arrest following complete or unspecified spontaneous abortion
AbortiveOutcome,ICD10CM,O03.87,Sepsis following complete or unspecified spontaneous abortion
AbortiveOutcome,ICD10CM,O03.88,Urinary tract infection following complete or unspecified spontaneous abortion
AbortiveOutcome,ICD10CM,O03.89,Complete or unspecified spontaneous abortion with other complications
AbortiveOutcome,ICD10CM,O03.9,Complete or unspecified spontaneous abortion without complication
AbortiveOutcome,ICD10CM,O04.5,Genital tract and pelvic infection following (induced) termination of pregnancy
AbortiveOutcome,ICD10CM,O04.6,Delayed or excessive hemorrhage following (induced) termination of pregnancy
AbortiveOutcome,ICD10CM,O04.7,Embolism following (induced) termination of pregnancy
AbortiveOutcome,ICD10CM,O04.8,(Induced) termination of pregnancy with other and unspecified complications
AbortiveOutcome,ICD10CM,O04.80,(Induced) termination of pregnancy with unspecified complications
AbortiveOutcome,ICD10CM,O04.81,Shock following (induced) termination of pregnancy
AbortiveOutcome,ICD10CM,O04.82,Renal failure following (induced) termination of pregnancy
AbortiveOutcome,ICD10CM,O04.83,Metabolic disorder following (induced) termination of pregnancy
AbortiveOutcome,ICD10CM,O04.84,Damage to pelvic organs following (induced) termination of pregnancy
AbortiveOutcome,ICD10CM,O04.85,Other venous complications following (induced) termination of pregnancy
AbortiveOutcome,ICD10CM,O04.86,Cardiac arrest following (induced) termination of pregnancy
AbortiveOutcome,ICD10CM,O04.87,Sepsis following (induced) termination of pregnancy
AbortiveOutcome,ICD10CM,O04.88,Urinary tract infection following (induced) termination of pregnancy
AbortiveOutcome,ICD10CM,O04.89,(Induced) termination of pregnancy with other complications
AbortiveOutcome,ICD10CM,O07.0,Genital tract and pelvic infection following failed attempted termination of pregnancy
AbortiveOutcome,ICD10CM,O07.1,Delayed or excessive hemorrhage following failed attempted termination of pregnancy
AbortiveOutcome,ICD10CM,O07.2,Embolism following failed attempted termination of pregnancy
AbortiveOutcome,ICD10CM,O07.3,Failed attempted termination of pregnancy with other and unspecified complications
AbortiveOutcome,ICD10CM,O07.30,Failed attempted termination of pregnancy with unspecified complications
AbortiveOutcome,ICD10CM,O07.31,Shock following failed attempted termination of pregnancy
AbortiveOutcome,ICD10CM,O07.32,Renal failure following failed attempted termination of pregnancy
AbortiveOutcome,ICD10CM,O07.33,Metabolic disorder following failed attempted termination of pregnancy
AbortiveOutcome,ICD10CM,O07.34,Damage to pelvic organs following failed attempted termination of pregnancy
AbortiveOutcome,ICD10CM,O07.35,Other venous complications following failed attempted termination of pregnancy
AbortiveOutcome,ICD10CM,O07.36,Cardiac arrest following failed attempted termination of pregnancy
AbortiveOutcome,ICD10CM,O07.37,Sepsis following failed attempted termination of pregnancy
AbortiveOutcome,ICD10CM,O07.38,Urinary tract infection following failed attempted termination of pregnancy
AbortiveOutcome,ICD10CM,O07.39,Failed attempted termination of pregnancy with other complications
AbortiveOutcome,ICD10CM,O07.4,Failed attempted termination of pregnancy without complication
AbortiveOutcome,ICD10CM,O08.0,Genital tract and pelvic infection following ectopic and molar pregnancy
AbortiveOutcome,ICD10CM,O08.1,Delayed or excessive hemorrhage following ectopic and molar pregnancy
AbortiveOutcome,ICD10CM,O08.2,Embolism following ectopic and molar pregnancy
AbortiveOutcome,ICD10CM,O08.3,Shock following ectopic and molar pregnancy
AbortiveOutcome,ICD10CM,O08.4,Renal failure following ectopic and molar pregnancy
AbortiveOutcome,ICD10CM,O08.5,Metabolic disorders following an ectopic and molar pregnancy
AbortiveOutcome,ICD10CM,O08.6,Damage to pelvic organs and tissues following an ectopic and molar pregnancy
AbortiveOutcome,ICD10CM,O08.7,Other venous complications following an ectopic and molar pregnancy
AbortiveOutcome,ICD10CM,O08.8,Other complications following an ectopic and molar pregnancy
AbortiveOutcome,ICD10CM,O08.81,Cardiac arrest following an ectopic and molar pregnancy
AbortiveOutcome,ICD10CM,O08.82,Sepsis following ectopic and molar pregnancy
AbortiveOutcome,ICD10CM,O08.83,Urinary tract infection following an ectopic and molar pregnancy
AbortiveOutcome,ICD10CM,O08.89,Other complications following an ectopic and molar pregnancy
AbortiveOutcome,ICD10CM,O08.9,Unspecified complication following an ectopic and molar pregnancy
Depression,SNOMEDCT,1.08E+16,Major depressive disorder in mother complicating childbirth (disorder)
Depression,SNOMEDCT,1.33E+14,Severe seasonal affective disorder (disorder)
Depression,ICD10CM,F01.51,Vascular dementia with behavioral disturbance
Depression,ICD10CM,F32.0,"Major depressive disorder, single episode, mild"
Depression,ICD10CM,F32.1,"Major depressive disorder, single episode, moderate"
Depression,ICD10CM,F32.2,"Major depressive disorder, single episode, severe without psychotic features"
Depression,ICD10CM,F32.3,"Major depressive disorder, single episode, severe with psychotic features"
Depression,ICD10CM,F32.4,"Major depressive disorder, single episode, in partial remission"
Depression,ICD10CM,F32.5,"Major depressive disorder, single episode, in full remission"
Depression,ICD10CM,F32.89,Other specified depressive episodes
Depression,ICD10CM,F32.9,"Major depressive disorder, single episode, unspecified"
Depression,ICD10CM,F32.A,"Depression, unspecified"
Depression,ICD10CM,F33.0,"Major depressive disorder, recurrent, mild"
Depression,ICD10CM,F33.1,"Major depressive disorder, recurrent, moderate"
Depression,ICD10CM,F33.2,"Major depressive disorder, recurrent severe without psychotic features"
Depression,ICD10CM,F33.3,"Major depressive disorder, recurrent, severe with psychotic symptoms"
Depression,ICD10CM,F33.40,"Major depressive disorder, recurrent, in remission, unspecified"
Depression,ICD10CM,F33.41,"Major depressive disorder, recurrent, in partial remission"
Depression,ICD10CM,F33.42,"Major depressive disorder, recurrent, in full remission"
Depression,ICD10CM,F33.8,Other recurrent depressive disorders
Depression,ICD10CM,F33.9,"Major depressive disorder, recurrent, unspecified"
Depression,ICD10CM,F34.1,Dysthymic disorder
Depression,ICD10CM,F34.81,Disruptive mood dysregulation disorder
Depression,ICD10CM,F34.89,Other specified persistent mood disorders
Depression,ICD10CM,F43.21,Adjustment disorder with depressed mood
Depression,ICD10CM,F43.23,Adjustment disorder with mixed anxiety and depressed mood
Depression,ICD10CM,F53.0,Postpartum depression
Depression,ICD10CM,F53.1,Puerperal psychosis
Diarrhea,SNOMEDCT,1.45E+16,Increased feces output (finding)
Diarrhea,ICD10CM,K59.1,Functional diarrhea
Diarrhea,ICD10CM,R19.7,"Diarrhea, unspecified"
Hypertension,SNOMEDCT,4.05E+13,Postpartum pre-existing essential hypertension (disorder)
Hypertension,ICD10CM,O10.011,"Pre-existing essential hypertension complicating pregnancy, first trimester"
Hypertension,ICD10CM,O10.012,"Pre-existing essential hypertension complicating pregnancy, second trimester"
Hypertension,ICD10CM,O10.013,"Pre-existing essential hypertension complicating pregnancy, third trimester"
Hypertension,ICD10CM,O10.019,"Pre-existing essential hypertension complicating pregnancy, unspecified trimester"
Hypertension,ICD10CM,O10.02,Pre-existing essential hypertension complicating childbirth
Hypertension,ICD10CM,O10.03,Pre-existing essential hypertension complicating the puerperium
Hypertension,ICD10CM,O10.111,"Pre-existing hypertensive heart disease complicating pregnancy, first trimester"
Hypertension,ICD10CM,O10.112,"Pre-existing hypertensive heart disease complicating pregnancy, second trimester"
Hypertension,ICD10CM,O10.113,"Pre-existing hypertensive heart disease complicating pregnancy, third trimester"
Hypertension,ICD10CM,O10.119,"Pre-existing hypertensive heart disease complicating pregnancy, unspecified trimester"
Hypertension,ICD10CM,O10.12,Pre-existing hypertensive heart disease complicating childbirth
Hypertension,ICD10CM,O10.13,Pre-existing hypertensive heart disease complicating the puerperium
Hypertension,ICD10CM,O10.211,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, first trimester"
Hypertension,ICD10CM,O10.212,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, second trimester"
Hypertension,ICD10CM,O10.213,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, third trimester"
Hypertension,ICD10CM,O10.219,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, unspecified trimester"
Hypertension,ICD10CM,O10.22,Pre-existing hypertensive chronic kidney disease complicating childbirth
Hypertension,ICD10CM,O10.23,Pre-existing hypertensive chronic kidney disease complicating the puerperium
Hypertension,ICD10CM,O10.311,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, first trimester"
Hypertension,ICD10CM,O10.312,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, second trimester"
Hypertension,ICD10CM,O10.313,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, third trimester"
Hypertension,ICD10CM,O10.319,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, unspecified trimester"
Hypertension,ICD10CM,O10.32,Pre-existing hypertensive heart and chronic kidney disease complicating childbirth
Hypertension,ICD10CM,O10.33,Pre-existing hypertensive heart and chronic kidney disease complicating the puerperium
Hypertension,ICD10CM,O10.411,"Pre-existing secondary hypertension complicating pregnancy, first trimester"
Hypertension,ICD10CM,O10.412,"Pre-existing secondary hypertension complicating pregnancy, second trimester"
Hypertension,ICD10CM,O10.413,"Pre-existing secondary hypertension complicating pregnancy, third trimester"
Hypertension,ICD10CM,O10.419,"Pre-existing secondary hypertension complicating pregnancy, unspecified trimester"
Hypertension,ICD10CM,O10.42,Pre-existing secondary hypertension complicating childbirth
Hypertension,ICD10CM,O10.43,Pre-existing secondary hypertension complicating the puerperium
Hypertension,ICD10CM,O10.911,"Unspecified pre-existing hypertension complicating pregnancy, first trimester"
Hypertension,ICD10CM,O10.912,"Unspecified pre-existing hypertension complicating pregnancy, second trimester"
Hypertension,ICD10CM,O10.913,"Unspecified pre-existing hypertension complicating pregnancy, third trimester"
Hypertension,ICD10CM,O10.919,"Unspecified pre-existing hypertension complicating pregnancy, unspecified trimester"
Hypertension,ICD10CM,O10.92,Unspecified pre-existing hypertension complicating childbirth
Hypertension,ICD10CM,O10.93,Unspecified pre-existing hypertension complicating the puerperium
Migraine,ICD10CM,G43.0,Migraine without aura
Migraine,ICD10CM,G43.00,"Migraine without aura, not intractable"
Migraine,ICD10CM,G43.001,"Migraine without aura, not intractable, with status migrainosus"
Migraine,ICD10CM,G43.009,"Migraine without aura, not intractable, without status migrainosus"
Migraine,ICD10CM,G43.01,"Migraine without aura, intractable"
Migraine,ICD10CM,G43.011,"Migraine without aura, intractable, with status migrainosus"
Migraine,ICD10CM,G43.019,"Migraine without aura, intractable, without status migrainosus"
Migraine,ICD10CM,G43.1,Migraine with aura
Migraine,ICD10CM,G43.10,"Migraine with aura, not intractable"
Migraine,ICD10CM,G43.101,"Migraine with aura, not intractable, with status migrainosus"
Migraine,ICD10CM,G43.109,"Migraine with aura, not intractable, without status migrainosus"
Migraine,ICD10CM,G43.11,"Migraine with aura, intractable"
Migraine,ICD10CM,G43.111,"Migraine with aura, intractable, with status migrainosus"
Migraine,ICD10CM,G43.119,"Migraine with aura, intractable, without status migrainosus"
Migraine,ICD10CM,G43.4,Hemiplegic migraine
Migraine,ICD10CM,G43.40,"Hemiplegic migraine, not intractable"
Migraine,ICD10CM,G43.401,"Hemiplegic migraine, not intractable, with status migrainosus"
Migraine,ICD10CM,G43.409,"Hemiplegic migraine, not intractable, without status migrainosus"
Migraine,ICD10CM,G43.41,"Hemiplegic migraine, intractable"
Migraine,ICD10CM,G43.411,"Hemiplegic migraine, intractable, with status migrainosus"
Migraine,ICD10CM,G43.419,"Hemiplegic migraine, intractable, without status migrainosus"
Migraine,ICD10CM,G43.5,Persistent migraine aura without cerebral infarction
Migraine,ICD10CM,G43.50,"Persistent migraine aura without cerebral infarction, not intractable"
Migraine,ICD10CM,G43.501,"Persistent migraine aura without cerebral infarction, not intractable, with status migrainosus"
Migraine,ICD10CM,G43.509,"Persistent migraine aura without cerebral infarction, not intractable, without status migrainosus"
Migraine,ICD10CM,G43.51,"Persistent migraine aura without cerebral infarction, intractable"
Migraine,ICD10CM,G43.511,"Persistent migraine aura without cerebral infarction, intractable, with status migrainosus"
Migraine,ICD10CM,G43.519,"Persistent migraine aura without cerebral infarction, intractable, without status migrainosus"
Migraine,ICD10CM,G43.6,Persistent migraine aura with cerebral infarction
Migraine,ICD10CM,G43.60,"Persistent migraine aura with cerebral infarction, not intractable"
Migraine,ICD10CM,G43.601,"Persistent migraine aura with cerebral infarction, not intractable, with status migrainosus"
Migraine,ICD10CM,G43.609,"Persistent migraine aura with cerebral infarction, not intractable, without status migrainosus"
Migraine,ICD10CM,G43.61,"Persistent migraine aura with cerebral infarction, intractable"
Migraine,ICD10CM,G43.611,"Persistent migraine aura with cerebral infarction, intractable, with status migrainosus"
Migraine,ICD10CM,G43.619,"Persistent migraine aura with cerebral infarction, intractable, without status migrainosus"
Migraine,ICD10CM,G43.7,Chronic migraine without aura
Migraine,ICD10CM,G43.70,"Chronic migraine without aura, not intractable"
Migraine,ICD10CM,G43.701,"Chronic migraine without aura, not intractable, with status migrainosus"
Migraine,ICD10CM,G43.709,"Chronic migraine without aura, not intractable, without status migrainosus"
Migraine,ICD10CM,G43.71,"Chronic migraine without aura, intractable"
Migraine,ICD10CM,G43.711,"Chronic migraine without aura, intractable, with status migrainosus"
Migraine,ICD10CM,G43.719,"Chronic migraine without aura, intractable, without status migrainosus"
Migraine,ICD10CM,G43.8,Other migraine
Migraine,ICD10CM,G43.80,"Other migraine, not intractable"
Migraine,ICD10CM,G43.801,"Other migraine, not intractable, with status migrainosus"
Migraine,ICD10CM,G43.809,"Other migraine, not intractable, without status migrainosus"
Migraine,ICD10CM,G43.81,"Other migraine, intractable"
Migraine,ICD10CM,G43.811,"Other migraine, intractable, with status migrainosus"
Migraine,ICD10CM,G43.819,"Other migraine, intractable, without status migrainosus"
Migraine,ICD10CM,G43.82,"Menstrual migraine, not intractable"
Migraine,ICD10CM,G43.821,"Menstrual migraine, not intractable, with status migrainosus"
Migraine,ICD10CM,G43.829,"Menstrual migraine, not intractable, without status migrainosus"
Migraine,ICD10CM,G43.83,"Menstrual migraine, intractable"
Migraine,ICD10CM,G43.831,"Menstrual migraine, intractable, with status migrainosus"
Migraine,ICD10CM,G43.839,"Menstrual migraine, intractable, without status migrainosus"
Migraine,ICD10CM,G43.9,"Migraine, unspecified"
Migraine,ICD10CM,G43.90,"Migraine, unspecified, not intractable"
Migraine,ICD10CM,G43.901,"Migraine, unspecified, not intractable, with status migrainosus"
Migraine,ICD10CM,G43.909,"Migraine, unspecified, not intractable, without status migrainosus"
Migraine,ICD10CM,G43.91,"Migraine, unspecified, intractable"
Migraine,ICD10CM,G43.911,"Migraine, unspecified, intractable, with status migrainosus"
Migraine,ICD10CM,G43.919,"Migraine, unspecified, intractable, without status migrainosus"
Migraine,ICD10CM,G43.A0,"Cyclical vomiting, in migraine, not intractable"
Migraine,ICD10CM,G43.A1,"Cyclical vomiting, in migraine, intractable"
Migraine,ICD10CM,G43.B,Ophthalmoplegic migraine
Migraine,ICD10CM,G43.B0,"Ophthalmoplegic migraine, not intractable"
Migraine,ICD10CM,G43.B1,"Ophthalmoplegic migraine, intractable"
Migraine,ICD10CM,G43.D,Abdominal migraine
Migraine,ICD10CM,G43.D0,"Abdominal migraine, not intractable"
Migraine,ICD10CM,G43.D1,"Abdominal migraine, intractable"
Pharyngitis,ICD10CM,J02.0,Streptococcal pharyngitis
Pharyngitis,ICD10CM,J02.8,Acute pharyngitis due to other specified organisms
Pharyngitis,ICD10CM,J02.9,"Acute pharyngitis, unspecified"
Preeclampsia,ICD10CM,O11.1,"Pre-existing hypertension with pre-eclampsia, first trimester"
Preeclampsia,ICD10CM,O11.2,"Pre-existing hypertension with pre-eclampsia, second trimester"
Preeclampsia,ICD10CM,O11.3,"Pre-existing hypertension with pre-eclampsia, third trimester"
Preeclampsia,ICD10CM,O11.4,"Pre-existing hypertension with pre-eclampsia, complicating childbirth"
Preeclampsia,ICD10CM,O11.5,"Pre-existing hypertension with pre-eclampsia, complicating the puerperium"
Preeclampsia,ICD10CM,O11.9,"Pre-existing hypertension with pre-eclampsia, unspecified trimester"
Preeclampsia,ICD10CM,O14.0,Mild to moderate pre-eclampsia
Preeclampsia,ICD10CM,O14.00,"Mild to moderate pre-eclampsia, unspecified trimester"
Preeclampsia,ICD10CM,O14.02,"Mild to moderate pre-eclampsia, second trimester"
Preeclampsia,ICD10CM,O14.03,"Mild to moderate pre-eclampsia, third trimester"
Preeclampsia,ICD10CM,O14.04,"Mild to moderate pre-eclampsia, complicating childbirth"
Preeclampsia,ICD10CM,O14.05,"Mild to moderate pre-eclampsia, complicating the puerperium"
Preeclampsia,ICD10CM,O14.1,Severe pre-eclampsia
Preeclampsia,ICD10CM,O14.10,"Severe pre-eclampsia, unspecified trimester"
Preeclampsia,ICD10CM,O14.12,"Severe pre-eclampsia, second trimester"
Preeclampsia,ICD10CM,O14.13,"Severe pre-eclampsia, third trimester"
Preeclampsia,ICD10CM,O14.14,Severe pre-eclampsia complicating childbirth
Preeclampsia,ICD10CM,O14.15,"Severe pre-eclampsia, complicating the puerperium"
Preeclampsia,ICD10CM,O14.9,Unspecified pre-eclampsia
Preeclampsia,ICD10CM,O14.90,"Unspecified pre-eclampsia, unspecified trimester"
Preeclampsia,ICD10CM,O14.92,"Unspecified pre-eclampsia, second trimester"
Preeclampsia,ICD10CM,O14.93,"Unspecified pre-eclampsia, third trimester"
Preeclampsia,ICD10CM,O14.94,"Unspecified pre-eclampsia, complicating childbirth"
Preeclampsia,ICD10CM,O14.95,"Unspecified pre-eclampsia, complicating the puerperium"
PregnancyOrOtherRelatedDiagnoses,SNOMEDCT,1.02E+13,In-vitro fertilization pregnancy (finding)
PregnancyOrOtherRelatedDiagnoses,SNOMEDCT,1.35E+14,High risk pregnancy due to recurrent miscarriage (finding)
PregnancyOrOtherRelatedDiagnoses,SNOMEDCT,1.68E+16,Ectopic pregnancy of left ovary (disorder)
PregnancyOrOtherRelatedDiagnoses,SNOMEDCT,1.68E+16,Ectopic pregnancy of right ovary (disorder)
PregnancyOrOtherRelatedDiagnoses,SNOMEDCT,1.68E+16,Pregnancy of left fallopian tube (disorder)
PregnancyOrOtherRelatedDiagnoses,SNOMEDCT,1.68E+16,Pregnancy of right fallopian tube (disorder)
PregnancyOrOtherRelatedDiagnoses,SNOMEDCT,2.23E+13,Post-term pregnancy of 40 to 42 weeks (finding)
PregnancyOrOtherRelatedDiagnoses,SNOMEDCT,3.54E+13,Quadruplet pregnancy with loss of one or more fetuses (disorder)
PregnancyOrOtherRelatedDiagnoses,SNOMEDCT,3.68E+13,Continuing triplet pregnancy after spontaneous abortion of one or more fetuses (disorder)
PregnancyOrOtherRelatedDiagnoses,SNOMEDCT,4.58E+14,Normal pregnancy in primigravida (finding)
PregnancyOrOtherRelatedDiagnoses,SNOMEDCT,4.58E+14,Normal pregnancy in multigravida (finding)
Sleep,ICD10CM,A81.83,Fatal familial insomnia
Sleep,ICD10CM,F51.01,Primary insomnia
Sleep,ICD10CM,F51.02,Adjustment insomnia
Sleep,ICD10CM,F51.03,Paradoxical insomnia
Sleep,ICD10CM,F51.04,Psychophysiologic insomnia
Sleep,ICD10CM,F51.05,Insomnia due to other mental disorder
Sleep,ICD10CM,F51.09,Other insomnia not due to a substance or known physiological condition
Sleep,ICD10CM,F51.11,Primary hypersomnia
Sleep,ICD10CM,F51.12,Insufficient sleep syndrome
Sleep,ICD10CM,F51.13,Hypersomnia due to other mental disorder
Sleep,ICD10CM,F51.19,Other hypersomnia not due to a substance or known physiological condition
Sleep,ICD10CM,F51.3,Sleepwalking [somnambulism]
Sleep,ICD10CM,F51.4,Sleep terrors [night terrors]
Sleep,ICD10CM,F51.5,Nightmare disorder
Sleep,ICD10CM,F51.8,Other sleep disorders not due to a substance or known physiological condition
Sleep,ICD10CM,F51.9,"Sleep disorder not due to a substance or known physiological condition, unspecified"
Sleep,ICD10CM,G47.00,"Insomnia, unspecified"
Sleep,ICD10CM,G47.01,Insomnia due to medical condition
Sleep,ICD10CM,G47.09,Other insomnia
Sleep,ICD10CM,G47.10,"Hypersomnia, unspecified"
Sleep,ICD10CM,G47.11,Idiopathic hypersomnia with long sleep time
Sleep,ICD10CM,G47.12,Idiopathic hypersomnia without long sleep time
Sleep,ICD10CM,G47.13,Recurrent hypersomnia
Sleep,ICD10CM,G47.14,Hypersomnia due to medical condition
Sleep,ICD10CM,G47.19,Other hypersomnia
Sleep,ICD10CM,G47.20,"Circadian rhythm sleep disorder, unspecified type"
Sleep,ICD10CM,G47.21,"Circadian rhythm sleep disorder, delayed sleep phase type"
Sleep,ICD10CM,G47.22,"Circadian rhythm sleep disorder, advanced sleep phase type"
Sleep,ICD10CM,G47.23,"Circadian rhythm sleep disorder, irregular sleep wake type"
Sleep,ICD10CM,G47.24,"Circadian rhythm sleep disorder, free running type"
Sleep,ICD10CM,G47.25,"Circadian rhythm sleep disorder, jet lag type"
Sleep,ICD10CM,G47.26,"Circadian rhythm sleep disorder, shift work type"
Sleep,ICD10CM,G47.27,Circadian rhythm sleep disorder in conditions classified elsewhere
Sleep,ICD10CM,G47.29,Other circadian rhythm sleep disorder
Sleep,ICD10CM,G47.30,"Sleep apnea, unspecified"
Sleep,ICD10CM,G47.31,Primary central sleep apnea
Sleep,ICD10CM,G47.33,Obstructive sleep apnea (adult) (pediatric)
Sleep,ICD10CM,G47.34,Idiopathic sleep related nonobstructive alveolar hypoventilation
Sleep,ICD10CM,G47.35,Congenital central alveolar hypoventilation syndrome
Sleep,ICD10CM,G47.36,Sleep related hypoventilation in conditions classified elsewhere
Sleep,ICD10CM,G47.37,Central sleep apnea in conditions classified elsewhere
Sleep,ICD10CM,G47.39,Other sleep apnea
Sleep,ICD10CM,G47.411,Narcolepsy with cataplexy
Sleep,ICD10CM,G47.419,Narcolepsy without cataplexy
Sleep,ICD10CM,G47.421,Narcolepsy in conditions classified elsewhere with cataplexy
Sleep,ICD10CM,G47.429,Narcolepsy in conditions classified elsewhere without cataplexy
